iter	Passed	Remaining
403	11701	17262
404	11733	17237
405	11763	17210
406	11795	17186
407	11826	17160
408	11860	17137
409	11889	17108
410	11920	17083
411	11952	17058
412	11982	17031
413	12015	17007
414	12046	16980
415	12075	16951
416	12106	16926
417	12139	16902
418	12171	16877
419	12202	16851
420	12232	16823
421	12273	16810
422	12310	16791
423	12345	16771
424	12379	16748
425	12414	16727
426	12449	16705
427	12484	16684
428	12518	16661
429	12558	16647
430	12596	16629
431	12628	16604
432	12668	16589
433	12701	16564
434	12735	16541
435	12769	16518
436	12802	16493
437	12840	16476
438	12879	16458
439	12925	16450
440	12958	16425
441	13000	16411
442	13035	16390
443	13068	16365
444	13101	16339
445	13135	16315
446	13166	16288
447	13197	16260
448	13230	16236
449	13263	16210
450	13296	16186
451	13328	16159
452	13359	16131
453	13391	16104
454	13423	16079
455	13456	16053
456	13488	16027
457	13519	15999
458	13551	15972
459	13586	15949
460	13619	15923
461	13652	15897
462	13681	15867
463	13715	15843
464	13746	15815
465	13778	15788
466	13811	15762
467	13841	15733
468	13872	15706
469	13904	15679
470	13938	15654
471	13968	15625
472	13998	15596
473	14031	15570
474	14061	15542
475	14093	15515
476	14125	15487
477	14155	15458
478	14186	15430
479	14221	15406
480	14265	15392
481	14306	15374
482	14363	15375
483	14404	15357
484	14448	15342
485	14490	15325
486	14531	15307
487	14570	15287
488	14611	15269
489	14654	15252
490	14694	15233
491	14741	15220
492	14782	15202
493	14824	15184
494	14857	15157
495	14889	15129
496	14923	15103
497	14955	15076
498	14989	15049
499	15022	15022
500	15058	14998
501	15090	14970
502	15123	14942
503	15154	14914
504	15187	14886
505	15222	14861
506	15253	14832
507	15285	14804
508	15317	14775
509	15351	14749
510	15382	14719
511	15414	14691
512	15448	14665
513	15483	14639
514	15516	14613
515	15551	14586
516	15591	14566
517	15631	14545
518	15663	14516
519	15696	14488
520	15729	14461
521	15761	14433
522	15793	14404
523	15823	14374
524	15856	14345
525	15887	14316
526	15919	14288
527	15950	14259
528	15981	14229
529	16013	14200
530	16045	14172
531	16078	14144
532	16116	14120
533	16146	14090
534	16182	14065
535	16216	14038
536	16254	14014
537	16291	13990
538	16323	13961
539	16355	13932
540	16385	13902
541	16416	13871
542	16447	13842
543	16479	13813
544	16509	13783
545	16540	13753
546	16573	13725
547	16608	13699
548	16645	13674
549	16682	13649
550	16728	13631
551	16771	13611
552	16798	13578
553	16821	13542
554	16848	13508
555	16871	13472
556	16892	13435
557	16914	13398
558	16942	13365
559	16962	13327
560	16981	13288
561	16999	13249
562	17019	13210
563	17038	13171
564	17056	13132
565	17075	13092
566	17094	13054
567	17113	13015
568	17131	12976
569	17151	12938
570	17169	12899
571	17189	12861
572	17207	12823
573	17227	12785
574	17244	12746
575	17263	12707
576	17283	12670
577	17306	12635
578	17325	12597
579	17346	12561
580	17366	12524
581	17386	12487
582	17405	12449
583	17425	12412
584	17444	12374
585	17464	12338
586	17482	12300
587	17502	12263
588	17520	12225
589	17540	12189
590	17559	12152
591	17579	12115
592	17597	12077
593	17615	12040
594	17634	12003
595	17652	11965
596	17671	11928
597	17690	11892
598	17711	11856
599	17756	11837
600	17774	11800
601	17794	11764
602	17826	11736
603	17847	11701
604	17870	11667
605	17893	11633
606	17915	11599
607	17936	11564
608	17960	11531
609	17985	11499
610	18008	11465
611	18029	11430
612	18051	11396
613	18080	11366
614	18106	11334
615	18132	11303
616	18159	11272
617	18184	11240
618	18234	11223
619	18260	11191
620	18279	11156
621	18298	11120
622	18317	11084
623	18338	11049
624	18357	11014
625	18376	10979
626	18397	10944
627	18416	10909
628	18437	10875
629	18462	10842
630	18481	10807
631	18501	10773
632	18521	10738
633	18540	10703
634	18560	10668
635	18581	10634
636	18600	10599
637	18620	10565
638	18639	10530
639	18660	10496
640	18707	10477
641	18726	10442
642	18747	10408
643	18767	10374
644	18787	10340
645	18807	10306
646	18828	10272
647	18848	10238
648	18867	10204
649	18888	10170
650	18908	10136
651	18931	10104
652	18950	10070
653	18971	10036
654	18992	10003
655	19013	9970
656	19034	9937
657	19055	9903
658	19076	9871
659	19097	9838
660	19117	9804
661	19139	9772
662	19187	9752
663	19213	9722
664	19233	9689
665	19256	9656
666	19277	9624
667	19299	9591
668	19326	9562
669	19349	9530
670	19371	9498
671	19392	9465
672	19412	9432
673	19430	9398
674	19451	9365
675	19472	9332
676	19492	9300
677	19511	9266
678	19532	9233
679	19551	9200
680	19572	9168
681	19590	9134
682	19611	9102
683	19631	9069
684	19652	9037
685	19678	9007
686	19698	8974
687	19719	8942
688	19738	8909
689	19757	8876
690	19777	8843
691	19805	8815
692	19829	8784
693	19851	8752
694	19872	8721
695	19894	8689
696	19915	8657
697	19935	8625
698	19956	8593
699	19977	8561
700	19999	8530
701	20021	8499
702	20042	8467
703	20065	8436
704	20087	8405
705	20111	8374
706	20133	8343
707	20154	8312
708	20175	8280
709	20198	8249
710	20218	8218
711	20240	8187
712	20265	8157
713	20293	8128
714	20323	8101
715	20350	8072
716	20370	8040
717	20391	8008
718	20410	7976
719	20430	7945
720	20451	7914
721	20471	7882
722	20493	7851
723	20513	7820
724	20533	7788
725	20553	7757
726	20599	7735
727	20618	7703
728	20639	7672
729	20659	7641
730	20680	7610
731	20701	7579
732	20722	7548
733	20741	7516
734	20760	7485
735	20782	7454
736	20809	7426
737	20835	7396
738	20853	7365
739	20874	7334
740	20892	7302
741	20912	7271
742	20933	7240
743	20953	7209
744	20972	7178
745	20994	7148
746	21014	7117
747	21035	7086
748	21080	7064
749	21101	7033
750	21120	7002
751	21139	6971
752	21159	6940
753	21179	6909
754	21199	6879
755	21218	6848
756	21237	6817
757	21258	6786
758	21278	6756
759	21304	6727
760	21325	6697
761	21347	6667
762	21366	6636
763	21390	6607
764	21409	6576
765	21430	6546
766	21449	6515
767	21468	6485
768	21488	6454
769	21507	6424
770	21528	6394
771	21548	6364
772	21568	6333
773	21588	6303
774	21609	6273
775	21630	6243
776	21650	6213
777	21671	6183
778	21691	6153
779	21712	6123
780	21730	6093
781	21750	6063
782	21779	6035
783	21798	6005
784	21819	5976
785	21840	5946
786	21860	5916
787	21880	5886
788	21901	5856
789	21922	5827
790	21942	5797
791	21962	5767
792	21982	5738
793	22002	5708
794	22022	5678
795	22042	5649
796	22062	5619
797	22082	5589
798	22104	5560
799	22123	5530
800	22143	5501
801	22162	5471
802	22182	5441
803	22202	5412
804	22222	5383
805	22242	5353
806	22267	5325
807	22291	5296
808	22311	5267
809	22332	5238
810	22352	5209
811	22371	5179
812	22391	5150
813	22410	5120
814	22431	5091
815	22451	5062
816	22470	5033
817	22490	5004
818	22512	4975
819	22536	4947
820	22557	4918
821	22578	4889
822	22599	4860
823	22619	4831
824	22639	4802
825	22662	4773
826	22682	4744
827	22702	4716
828	22723	4687
829	22745	4658
830	22766	4630
831	22786	4601
832	22807	4572
833	22828	4543
834	22848	4514
835	22869	4486
836	22892	4458
837	22912	4429
838	22934	4400
839	22955	4372
840	22984	4345
841	23007	4317
842	23032	4289
843	23056	4261
844	23082	4234
845	23101	4205
846	23122	4176
847	23145	4148
848	23169	4120
849	23194	4093
850	23224	4066
851	23252	4039
852	23279	4011
853	23298	3983
854	23319	3954
855	23339	3926
856	23366	3898
